EnsenbleProteinID,EnsenbleGeneID,Name,Type,RefSeqGeneID,RefSeqProteinID
ENSP00000335437,ENSG00000132010,ZNF20,zf-C2H2,,NP_066966; NP_001190179
ENSP00000335493,ENSG00000186564,FOXD2,Fork_head,NM_004474,NP_004465
ENSP00000335578,ENSG00000186103,ARGFX,Homeobox,NM_001012659,NP_001012677
ENSP00000335677,ENSG00000141568,FOXK2,Fork_head,,NP_004505
ENSP00000336528,ENSG00000144852,NR1I2,THR-like,NM_003889,NP_071285
ENSP00000336620,ENSG00000143373,ZNF687,zf-C2H2,,NP_065883; NP_001291693
ENSP00000336856,ENSG00000140382,HMG20A,HMG,,NP_001291433; NP_001291434
ENSP00000336868,ENSG00000115163,CENPA,TF_others,,NP_001800
ENSP00000337081,ENSG00000062370,ZNF112,zf-C2H2,NM_001348283,NP_001076804
ENSP00000337122,ENSG00000169131,ZNF354A,zf-C2H2,NM_001324339,NP_005640; NP_001311268
ENSP00000337330,ENSG00000171476,HOPX,Homeobox,NM_032495,XP_016864217; XP_016864219; XP_016864223; NP_631957; NP_631958; XP_006714115; XP_016864222; XP_016864220; XP_016864221; NP_001138931; XP_016864218; NP_001138932; NP_115884
ENSP00000337363,ENSG00000160908,ZNF394,zf-C2H2,,NP_115540
ENSP00000337368,ENSG00000267680,ZNF224,zf-C2H2,,NP_001308574; NP_037530
ENSP00000337473,ENSG00000249471,ZNF324B,zf-C2H2,NM_207395,NP_997278
ENSP00000337555,ENSG00000188785,ZNF548,zf-C2H2,NM_152909,NP_001166244
ENSP00000337724,ENSG00000166261,ZNF202,zf-C2H2,NM_003455,NP_001288708
ENSP00000337862,ENSG00000172818,OVOL1,zf-C2H2,NM_004561,NP_004552
ENSP00000337889,ENSG00000123933,MXD4,bHLH,NM_006454,NP_006445
ENSP00000338157,ENSG00000109906,ZBTB16,ZBTB,,NP_001341679; NP_005997
ENSP00000338217,ENSG00000074657,ZNF532,zf-C2H2,NM_018181,NP_060651
ENSP00000338272,ENSG00000164683,HEY1,bHLH,,NP_001035798
ENSP00000338283,ENSG00000170485,NPAS2,bHLH,NM_002518,NP_002509
ENSP00000338290,ENSG00000125812,GZF1,ZBTB,NM_001317012,NP_071927; NP_001303941
ENSP00000338572,ENSG00000170260,ZNF212,zf-C2H2,NM_012256,NP_036388
ENSP00000338608,ENSG00000102034,ELF4,ETS,NM_001421,NP_001120669
ENSP00000338629,ENSG00000142599,RERE,zf-GATA,NM_012102,NP_036234
ENSP00000338727,ENSG00000093167,LRRFIP2,LRRFIP,NM_017724,NP_001335226; NP_006300
ENSP00000338770,ENSG00000197050,ZNF420,zf-C2H2,,NP_001316446; NP_653290; NP_001316449
ENSP00000338807,ENSG00000168826,ZBTB49,ZBTB,,NP_001317554; NP_660334
ENSP00000338860,ENSG00000167685,ZNF444,zf-C2H2,,NP_060807
ENSP00000338927,ENSG00000161642,ZNF385A,zf-C2H2,,NP_001124439
ENSP00000339004,ENSG00000176165,FOXG1,Fork_head,NM_005249,NP_005240
ENSP00000339030,ENSG00000186660,ZFP91,zf-C2H2,NM_053023,NP_444251; NP_001183980
ENSP00000339314,ENSG00000187792,ZNF70,zf-C2H2,NM_021916,NP_068735
ENSP00000339527,ENSG00000118689,FOXO3,Fork_head,NM_201559,NP_963853
ENSP00000339585,ENSG00000173275,ZNF449,zf-C2H2,,NP_689908
ENSP00000339767,ENSG00000197647,ZNF433,zf-C2H2,,NP_001073880
ENSP00000339823,ENSG00000187187,ZNF546,zf-C2H2,,NP_848639
ENSP00000339992,ENSG00000118513,MYB,MYB,NM_001130173,NP_001123645
ENSP00000340004,ENSG00000249709,ZNF564,zf-C2H2,NM_144976,NP_659413
ENSP00000340029,ENSG00000010244,ZNF207,TF_others,NM_003457,NP_001027464; NP_003448; NP_001091977
ENSP00000340226,ENSG00000162761,LMX1A,Homeobox,NM_177398,NP_796372
ENSP00000340494,ENSG00000186918,ZNF395,TF_others,NM_018660,NP_061130
ENSP00000340514,ENSG00000105708,ZNF14,zf-C2H2,NM_021030,NP_066358
ENSP00000340683,ENSG00000197933,ZNF823,zf-C2H2,NM_001297610,NP_001073962; NP_001284539
ENSP00000340796,ENSG00000162664,ZNF326,TF_others,,NP_892021; NP_861446
ENSP00000340799,ENSG00000189120,SP6,zf-C2H2,NM_199262,NP_954871
ENSP00000340874,ENSG00000081189,MEF2C,SRF,NM_001364329,NP_001180276; NP_001351267
ENSP00000341108,ENSG00000188816,HMX2,Homeobox,NM_005519,NP_005510
ENSP00000341165,ENSG00000197128,ZNF772,zf-C2H2,,NP_001019767
ENSP00000341208,ENSG00000126561,STAT5A,STAT,NM_003152,NP_003143
ENSP00000341236,ENSG00000197472,ZNF695,zf-C2H2,,NP_065127
ENSP00000341243,ENSG00000124232,RBPJL,CSL,NM_014276,NP_055091
ENSP00000341280,ENSG00000008083,JARID2,ARID,NM_004973,NP_004964
ENSP00000341528,ENSG00000196378,ZNF34,zf-C2H2,NM_001286769,NP_085057
ENSP00000341815,ENSG00000203883,SOX18,HMG,NM_018419,NP_060889
ENSP00000341843,ENSG00000010030,ETV7,ETS,NM_001207035,NP_057219
ENSP00000341961,ENSG00000187559,FOXD4L3,Fork_head,NM_199135,NP_954586
ENSP00000342002,ENSG00000184635,ZNF93,zf-C2H2,,NP_112495
ENSP00000342019,ENSG00000136870,ZNF189,zf-C2H2,NM_001278231,NP_003443
ENSP00000342136,ENSG00000107175,CREB3,TF_bZIP,,NP_006359
ENSP00000342307,ENSG00000111206,FOXM1,Fork_head,,NP_973731
ENSP00000342392,ENSG00000188095,MESP2,bHLH,,NP_001035047
ENSP00000342630,ENSG00000091831,ESR1,ESR-like,,XP_016865867; XP_016865872; XP_016865869; NP_001116212; NP_001372500; ; NP_001372498; NP_001372499; XP_006715438; XP_011533847; XP_011533851; NP_001116214; XP_016865866; XP_016865870; NP_001278159; NP_001278170; NP_001372497; NP_000116; NP_001372501; XP_011533849; XP_016865868; NP_001116213; XP_011533845; XP_016865871; NP_001315029
ENSP00000342818,ENSG00000188295,ZNF669,zf-C2H2,NM_001142572,NP_079080
ENSP00000342828,ENSG00000119919,NKX2-3,Homeobox,NM_145285,NP_660328
ENSP00000342876,ENSG00000030419,IKZF2,zf-C2H2,,XP_011509111; NP_001374149; NP_057344; XP_005246443; XP_011509114; NP_001358203; XP_005246441; XP_005246442; XP_011509106; XP_011509109; XP_011509110; XP_011509118; XP_011509119; XP_011509121; XP_016859081; NP_001072994; NP_001358206; XP_011509112; XP_011509120; XP_011509113; XP_011509117; XP_016859080; XP_011509104; XP_011509105; XP_011509107; NP_001358204; NP_001358205
ENSP00000342931,ENSG00000064835,POU1F1,Pou,NM_001122757,NP_001116229
ENSP00000342974,ENSG00000173875,ZNF791,zf-C2H2,,NP_699189
ENSP00000343023,ENSG00000067066,SP100,SAND,NM_003113,NP_001073860
ENSP00000343155,ENSG00000100219,XBP1,TF_bZIP,NM_005080,NP_001380929; ; NP_001073007; NP_005071; NP_001380928
ENSP00000343246,ENSG00000105991,HOXA1,Homeobox,NM_005522,
ENSP00000343288,ENSG00000053254,FOXN3,Fork_head,,NP_001078940
ENSP00000343464,ENSG00000187821,HELT,bHLH,NM_001300781,NP_001287710; XP_016863675; ; NP_001287711
ENSP00000343477,ENSG00000020633,RUNX3,Runt,NM_004350,XP_005246081; NP_001307601; XP_011540653; NP_004341; NP_001026850
ENSP00000343581,ENSG00000120784,ZFP30,zf-C2H2,,NP_001307595; NP_055713; NP_001307596
ENSP00000343617,ENSG00000166704,ZNF606,zf-C2H2,,NP_079303
ENSP00000343619,ENSG00000078399,HOXA9,Homeobox,NM_152739,NP_689952
ENSP00000343633,ENSG00000170802,FOXN2,Fork_head,NM_001375781,NP_001362371; NP_001362372; NP_001362376; NP_001362378; NP_001362380; NP_002149; NP_001362373; NP_001362374; NP_001362379; NP_001362375; NP_001362377; NP_001362381
ENSP00000343819,ENSG00000165588,OTX2,TF_Otx,NM_001270523,NP_001257453; NP_001257452
ENSP00000343925,ENSG00000140009,ESR2,ESR-like,,NP_001428
ENSP00000343948,ENSG00000112561,TFEB,bHLH,NM_001271943,NP_001258872; XP_006715275; XP_011513218; NP_001161299; NP_009093; XP_005249468; NP_001258873; NP_001258874; XP_011513217; XP_005249469
ENSP00000344129,ENSG00000179930,ZNF648,zf-C2H2,NM_001009992,NP_001009992
ENSP00000344162,ENSG00000196646,ZNF136,zf-C2H2,,NP_003428
ENSP00000344285,ENSG00000188909,BSX,Homeobox,NM_001098169,NP_001091639
ENSP00000344352,ENSG00000162772,ATF3,TF_bZIP,,NP_001665
ENSP00000344479,ENSG00000153234,NR4A2,NGFIB-like,NM_006186,NP_006177
ENSP00000344544,ENSG00000161405,IKZF3,zf-C2H2,NM_012481,NP_036613
ENSP00000344724,ENSG00000124191,TOX2,HMG,NM_001098797,NP_001092267
ENSP00000344791,ENSG00000189190,ZNF600,zf-C2H2,,NP_940859
ENSP00000344828,ENSG00000181450,ZNF678,zf-C2H2,NM_001367910,NP_001354838; NP_001354839
ENSP00000344903,ENSG00000198517,MAFK,TF_bZIP,NM_002360,NP_002351
ENSP00000345030,ENSG00000088881,EBF4,COE,NM_001110514,
ENSP00000345147,ENSG00000125816,NKX2-4,Homeobox,NM_033176,NP_149416
ENSP00000345347,ENSG00000189403,HMGB1,HMG,NM_002128,NP_002119
ENSP00000345393,ENSG00000185022,MAFF,TF_bZIP,,NP_036455; NP_001155044
ENSP00000345420,ENSG00000187855,ASCL4,bHLH,NM_203436,NP_982260
ENSP00000345479,ENSG00000198466,ZNF587,zf-C2H2,NM_032828,NP_116217
ENSP00000345494,ENSG00000188313,PLSCR1,TF_others,NM_021105,NP_066928
ENSP00000345571,ENSG00000101412,E2F1,E2F,NM_005225,NP_005216
ENSP00000345681,ENSG00000179348,GATA2,zf-GATA,NM_032638,NP_116027
ENSP00000345702,ENSG00000001167,NFYA,NF-YA,NM_002505,NP_002496
ENSP00000345772,ENSG00000007866,TEAD3,TEA,,NP_003205
ENSP00000345809,ENSG00000186448,ZNF197,zf-C2H2,,NP_001310225; NP_008922; NP_001310222; NP_001310224
ENSP00000345917,ENSG00000145220,LYAR,TF_others,,NP_060286
ENSP00000346175,ENSG00000136169,SETDB2,MBD,NM_031915,NP_114121; NP_001307628
ENSP00000346348,ENSG00000196391,ZNF774,zf-C2H2,NM_001004309,NP_001004309
ENSP00000346603,ENSG00000119574,ZBTB45,ZBTB,NM_032792,NP_001303907; NP_116181
ENSP00000346729,ENSG00000164048,ZNF589,zf-C2H2,,NP_057173
ENSP00000346879,ENSG00000136352,NKX2-1,Homeobox,NM_003317,NP_001073136
ENSP00000346886,ENSG00000154727,GABPA,ETS,NM_001197297,NP_001184226
ENSP00000347043,ENSG00000198093,ZNF649,zf-C2H2,NM_023074,NP_075562
ENSP00000347234,ENSG00000196357,ZNF565,zf-C2H2,NM_152477,XP_011524814; XP_011524816; NP_689690; NP_001353117; XP_016881832; NP_001353118; NP_001035939; NP_001353119
ENSP00000347338,ENSG00000198182,ZNF607,zf-C2H2,NM_032689,NP_116078
ENSP00000347463,ENSG00000108001,EBF3,COE,NM_001375390,NP_001362308; NP_001362321
ENSP00000347602,ENSG00000032219,ARID4A,ARID,NM_023001,NP_002883
ENSP00000347646,ENSG00000177732,SOX12,HMG,NM_006943,NP_008874
ENSP00000347648,ENSG00000243943,ZNF512,zf-C2H2,,NP_115810
ENSP00000347684,ENSG00000136944,LMX1B,Homeobox,NM_002316,NP_001167617
ENSP00000347730,ENSG00000198597,ZNF536,zf-C2H2,,NP_055532
ENSP00000347755,ENSG00000196387,ZNF140,zf-C2H2,NM_003440,NP_003431
ENSP00000348069,ENSG00000072310,SREBF1,bHLH,,NP_001005291; NP_001308025
ENSP00000348274,ENSG00000148737,TCF7L2,HMG,NM_001146274,NP_001354872
ENSP00000348298,ENSG00000196233,LCOR,HTH,,NP_115816
ENSP00000348419,ENSG00000197857,ZNF44,zf-C2H2,,NP_001157748
ENSP00000348632,ENSG00000125826,RBCK1,TF_others,,NP_112506
ENSP00000348673,ENSG00000198146,ZNF770,zf-C2H2,NM_014106,NP_054825
ENSP00000348984,ENSG00000159140,SON,TF_others,NM_138927,NP_620305
ENSP00000349161,ENSG00000197863,ZNF790,zf-C2H2,NM_206894,NP_996777
ENSP00000349401,ENSG00000182141,ZNF708,zf-C2H2,NM_021269,NP_067092
ENSP00000349494,ENSG00000213096,ZNF254,zf-C2H2,,NP_975011
ENSP00000349503,ENSG00000198081,ZBTB14,ZBTB,NM_003409,NP_001137295; NP_003400
ENSP00000349723,ENSG00000127152,BCL11B,zf-C2H2,NM_001282237,NP_612808; NP_001269166
ENSP00000349748,ENSG00000116560,SFPQ,TF_others,,NP_005057
ENSP00000349823,ENSG00000138375,SMARCAL1,TF_others,,NP_054859
ENSP00000350078,ENSG00000196843,ARID5A,ARID,,NP_001306016; NP_001306014; NP_997646
ENSP00000350085,ENSG00000198521,ZNF43,zf-C2H2,NM_001256649,NP_001243582
ENSP00000350295,ENSG00000180257,ZNF816,zf-C2H2,NM_001031665,NP_001026835
ENSP00000350359,ENSG00000146592,CREB5,TF_bZIP,NM_182899,NP_878901
ENSP00000350369,ENSG00000197063,MAFG,TF_bZIP,NM_002359,NP_002350
ENSP00000350418,ENSG00000197360,ZNF98,zf-C2H2,NM_001098626,NP_001092096
ENSP00000350549,ENSG00000188620,HMX3,Homeobox,NM_001105574,NP_001099044
ENSP00000350552,ENSG00000111783,RFX4,RFX,NM_213594,NP_001193620
ENSP00000350576,ENSG00000197044,ZNF441,zf-C2H2,,NP_689568
ENSP00000350844,ENSG00000196092,PAX5,PAX,NM_016734,NP_057953
ENSP00000350865,ENSG00000173253,DMRT2,DM,,NP_001374487; NP_001357461; NP_001374488; NP_870987
ENSP00000351255,ENSG00000138378,STAT4,STAT,NM_003151,NP_001230764
ENSP00000351280,ENSG00000197013,ZNF429,zf-C2H2,,NP_001001415; NP_001333844; NP_001333841; NP_001333842; NP_001333843
ENSP00000351391,ENSG00000196381,ZNF781,zf-C2H2,NM_152605,NP_689818
ENSP00000351407,ENSG00000143437,ARNT,bHLH,NM_001668,NP_001659
ENSP00000351482,ENSG00000181135,ZNF707,zf-C2H2,,NP_001275735; NP_001275736; NP_001094068; NP_001094069
ENSP00000351490,ENSG00000125952,MAX,bHLH,NM_001271069,NP_002373
ENSP00000351530,ENSG00000198205,ZXDA,zf-C2H2,NM_007156,NP_009087
ENSP00000351539,ENSG00000179456,ZBTB18,ZBTB,NM_001278196,NP_991331
ENSP00000351686,ENSG00000170325,PRDM10,zf-C2H2,NM_001367892,NP_001354821; NP_001354822; NP_064613
ENSP00000351929,ENSG00000198546,ZNF511,TF_others,NM_145806,NP_665805; 
ENSP00000352233,ENSG00000196946,ZNF705A,zf-C2H2,,NP_001004328
ENSP00000352444,ENSG00000196693,ZNF33B,zf-C2H2,,NP_001291964; NP_001291968; NP_001291965; NP_001291966; NP_001291967; NP_001291969; NP_008886
ENSP00000352565,ENSG00000164107,HAND2,bHLH,,NP_068808
ENSP00000352673,ENSG00000163435,ELF3,ETS,,NP_001107781; NP_004424; XP_005244999
ENSP00000352836,ENSG00000197372,ZNF675,zf-C2H2,,NP_612203
ENSP00000352846,ENSG00000198482,ZNF808,zf-C2H2,NM_001363550,NP_001034975; NP_001308354; NP_001308353
ENSP00000352900,ENSG00000143171,RXRG,RXR-like,NM_006917,NP_008848
ENSP00000352926,ENSG00000197905,TEAD4,TEA,NM_201441,NP_003204
ENSP00000353151,ENSG00000197576,HOXA4,Homeobox,,NP_002132
ENSP00000353344,ENSG00000157557,ETS2,ETS,NM_001256295,NP_001243224
ENSP00000353401,ENSG00000257923,CUX1,CUT,NM_181500,NP_001189472
ENSP00000353491,ENSG00000197714,ZNF460,zf-C2H2,NM_001330622,NP_006626
ENSP00000353652,ENSG00000167555,ZNF528,zf-C2H2,,NP_115799
ENSP00000353734,ENSG00000118495,PLAGL1,zf-C2H2,NM_001289042,NP_001304085; NP_001275973; NP_001275971
ENSP00000353793,ENSG00000198554,WDHD1,HMG,NM_007086,NP_009017
ENSP00000353863,ENSG00000163848,ZNF148,zf-C2H2,NM_001348426,NP_001335357; NP_001335359; NP_001335355; NP_068799; NP_001335361; NP_001335362; NP_001335363; NP_001335356; NP_001335360
ENSP00000353922,ENSG00000147180,ZNF711,zf-C2H2,NM_001375433,XP_011529322; XP_011529325; NP_001362361; ; NP_001317503; NP_001362363; NP_001362365; NP_068838; XP_005262245; XP_011529323; XP_016885298; NP_001362364; XP_005262244; XP_011529321; XP_011529324; XP_011529327; XP_016885292; NP_001362362; NP_001362366; NP_001362360
ENSP00000354130,ENSG00000100146,SOX10,HMG,,NP_008872; 
ENSP00000354206,ENSG00000165804,ZNF219,zf-C2H2,NM_016423,NP_057507
ENSP00000354305,ENSG00000158691,ZSCAN12,zf-C2H2,,XP_016867017; XP_011513319; XP_011513316; XP_024302366; ; NP_001156863; NP_001355053; XP_011513317
ENSP00000354377,ENSG00000075407,ZNF37A,zf-C2H2,NM_001324257,NP_001311178; NP_003412; NP_001311190; NP_001311174; NP_001311183; NP_001311177; NP_001311189; NP_001171572
ENSP00000354394,ENSG00000115415,STAT1,STAT,,NP_001371812; NP_001371815; NP_001371818; NP_009330; NP_001371816; NP_001371819; NP_001371820; NP_001371813; NP_001371817; NP_001371809; NP_001371810; NP_001371814
ENSP00000354414,ENSG00000198551,ZNF627,zf-C2H2,,NP_001277013; NP_001277014; NP_660338
ENSP00000354453,ENSG00000198939,ZFP2,zf-C2H2,NM_030613,NP_085116
ENSP00000354476,ENSG00000198911,SREBF2,bHLH,,NP_004590
ENSP00000354478,ENSG00000144355,DLX1,Homeobox,,NP_835221
ENSP00000354487,ENSG00000148516,ZEB1,zf-C2H2,NM_001323638,
ENSP00000354501,ENSG00000198839,ZNF277,zf-C2H2,NM_021994,NP_068834
ENSP00000354528,ENSG00000168214,RBPJ,CSL,,XP_016863659; NP_001361330; NP_001366335; XP_016863663; NP_001366336; NP_976029; NP_976028; ; NP_001366337; XP_016863660; NP_001361332; NP_001361329; XP_011512142; NP_001366338; NP_005340; NP_056958; NP_001350506; NP_001361331
ENSP00000354543,ENSG00000196428,TSC22D2,TSC22,NM_014779,NP_055594
ENSP00000354553,ENSG00000198715,GLMP,NCU-G1,,NP_653181; NP_001243533
ENSP00000354663,ENSG00000183621,ZNF438,zf-C2H2,,NP_001374334
ENSP00000354686,ENSG00000198740,ZNF652,zf-C2H2,,NP_055712
ENSP00000354694,ENSG00000198298,ZNF485,zf-C2H2,NM_145312,NP_001305070; NP_001305071; NP_660355
ENSP00000354794,ENSG00000198795,ZNF521,zf-C2H2,NM_015461,NP_056276
ENSP00000354842,ENSG00000198846,TOX,HMG,NM_014729,NP_055544
ENSP00000354855,ENSG00000082641,NFE2L1,TF_bZIP,,NP_003195
ENSP00000354964,ENSG00000171467,ZNF318,TF_others,,NP_055160
ENSP00000355001,ENSG00000198914,POU3F3,Pou,,NP_006227
ENSP00000355053,ENSG00000121903,ZSCAN20,zf-C2H2,,XP_016857727; XP_016857726; XP_016857728; NP_001364307; NP_001364308; NP_001364306; NP_660281; NP_001364305; XP_016857730
ENSP00000355119,ENSG00000153779,TGIF2LX,Homeobox,NM_138960,NP_620410
ENSP00000355140,ENSG00000120094,HOXB1,Homeobox,NM_002144,NP_002135
ENSP00000355245,ENSG00000198807,PAX9,PAX,,NP_001359005
ENSP00000355249,ENSG00000007968,E2F2,E2F,NM_004091,NP_004082
ENSP00000355459,ENSG00000277462,ZNF670,zf-C2H2,NM_001204220,NP_149990; NP_001191149
ENSP00000355464,ENSG00000153207,AHCTF1,TF_others,,NP_056261; NP_001310271; NP_001310272; XP_006711821; XP_011542459; XP_011542458; 
ENSP00000355631,ENSG00000115507,OTX1,TF_Otx,NM_001199770,NP_001186699
ENSP00000355870,ENSG00000136630,HLX,Homeobox,,NP_068777
ENSP00000355904,ENSG00000196482,ESRRG,ESR-like,NM_001438,NP_001230447
ENSP00000355925,ENSG00000117707,PROX1,HPD,,NP_001257545
ENSP00000355988,ENSG00000117595,IRF6,IRF,NM_006147,NP_006138
ENSP00000356064,ENSG00000130338,TULP4,Tub,,NP_064630
ENSP00000356134,ENSG00000029639,TFB1M,TF_others,NM_001350501,NP_057104; NP_001337430; NP_001337431
ENSP00000356172,ENSG00000143842,SOX13,HMG,,NP_005677
ENSP00000356331,ENSG00000116833,NR5A2,SF-like,NM_205860,NP_995582
ENSP00000356357,ENSG00000143355,LHX9,Homeobox,,NP_064589
ENSP00000356375,ENSG00000177888,ZBTB41,ZBTB,NM_194314,NP_919290
ENSP00000356575,ENSG00000010818,HIVEP2,zf-C2H2,NM_006734,NP_006725
ENSP00000356674,ENSG00000185278,ZBTB37,ZBTB,NM_001369846,NP_001116242
ENSP00000356708,ENSG00000177468,OLIG3,bHLH,NM_175747,NP_786923
ENSP00000356782,ENSG00000117475,BLZF1,TF_others,NM_001320972,NP_001307902
ENSP00000356795,ENSG00000143178,TBX19,T-box,NM_005149,NP_005140
ENSP00000356840,ENSG00000143190,POU2F1,Pou,NM_002697,NP_002688
ENSP00000356846,ENSG00000143194,MAEL,HMG,NM_032858,NP_116247
ENSP00000356857,ENSG00000118526,TCF21,bHLH,NM_003206,NP_003197
ENSP00000356919,ENSG00000118217,ATF6,TF_bZIP,,NP_031374
ENSP00000356958,ENSG00000143257,NR1I3,THR-like,NM_001077475,XP_005245751; NP_001070950; NP_001070940; NP_001070943; NP_001070944; NP_001070948; NP_001070946; NP_001070937; NP_001070942; NP_001070947; XP_011508539; NP_001070939; NP_001070941; NP_001070945; NP_001070949; XP_005245750; XP_005245754; ; NP_005113; NP_001070938
ENSP00000356999,ENSG00000158773,USF1,bHLH,NM_001276373,NP_001263302
ENSP00000357175,ENSG00000117036,ETV3,ETS,NM_001145312,NP_001138784
ENSP00000357348,ENSG00000135547,HEY2,bHLH,,NP_036391
ENSP00000357440,ENSG00000025156,HSF2,HSF,NM_004506,NP_004497
ENSP00000357556,ENSG00000151650,VENTX,Homeobox,NM_014468,NP_055283
ENSP00000357581,ENSG00000148826,NKX6-2,Homeobox,,NP_796374
ENSP00000357596,ENSG00000143578,CREB3L4,TF_bZIP,,NP_001242907
ENSP00000357644,ENSG00000143614,GATAD2B,zf-GATA,,NP_065750
ENSP00000357881,ENSG00000095574,IKZF5,zf-C2H2,NM_001372126,NP_001359056; NP_001359057; NP_001359060; NP_001359052; NP_001359055; NP_001359058; NP_001359059; NP_001359054; NP_001359053
ENSP00000357914,ENSG00000143458,GABPB2,TF_others,,NP_653219; NP_001310837; NP_001310835; NP_001310842; NP_001310839
ENSP00000357979,ENSG00000112333,NR2E1,RXR-like,NM_003269,NP_001273031
ENSP00000358092,ENSG00000057657,PRDM1,zf-C2H2,,NP_001189
ENSP00000358207,ENSG00000148704,VAX1,Homeobox,NM_199131,NP_001106175
ENSP00000358210,ENSG00000112246,SIM1,bHLH,NM_005068,NP_001361698; NP_005059
ENSP00000358217,ENSG00000112238,PRDM13,zf-C2H2,NM_021620,NP_067633
ENSP00000358437,ENSG00000092607,TBX15,T-box,NM_152380,NP_001317606
ENSP00000358590,ENSG00000188994,ZNF292,zf-C2H2,,NP_001338373; NP_055836
ENSP00000358617,ENSG00000116793,PHTF1,TF_others,,NP_001309974; NP_001309971; NP_001309970; NP_001309972; NP_001309973; NP_006599
ENSP00000358677,ENSG00000112837,TBX18,T-box,,NP_001073977
ENSP00000358807,ENSG00000156150,ALX3,Homeobox,NM_006492,
ENSP00000358904,ENSG00000196700,ZNF512B,zf-C2H2,NM_020713,NP_065764
ENSP00000358983,ENSG00000077150,NFKB2,RHD,,NP_001070962; NP_001309864
ENSP00000359019,ENSG00000107859,PITX3,Homeobox,,NP_005020
ENSP00000359212,ENSG00000138136,LBX1,Homeobox,NM_006562,NP_006553
ENSP00000359215,ENSG00000107807,TLX1,Homeobox,NM_005521,NP_005512
ENSP00000359269,ENSG00000063587,ZNF275,zf-C2H2,,NP_001073954; ; NP_001354686
ENSP00000359357,ENSG00000162676,GFI1,zf-C2H2,NM_005263,NP_001120687
ENSP00000359393,ENSG00000029993,HMGB3,HMG,,NP_001288157; NP_001288158; NP_001288160; NP_005333
ENSP00000359444,ENSG00000171116,HSFX1,HSF,NM_016153,NP_057237
ENSP00000359474,ENSG00000143032,BARHL2,Homeobox,NM_020063,NP_064447
ENSP00000359489,ENSG00000155966,AFF2,AF-4,NM_002025,NP_002016; NP_001162594
ENSP00000359567,ENSG00000134595,SOX3,HMG,NM_005634,NP_005625
ENSP00000359802,ENSG00000186376,ZNF75D,zf-C2H2,,NP_009062
ENSP00000359837,ENSG00000036549,AC118549,MYB,,NP_001363076; NP_001363078; NP_001363080; NP_056349; NP_001363075; NP_001363083; NP_001363077; NP_001363082
ENSP00000360017,ENSG00000056277,ZNF280C,TF_others,NM_017666,NP_060136
ENSP00000360138,ENSG00000196233,LCOR,HTH,,NP_001164236; NP_001333445; ; NP_115816; NP_001164237
ENSP00000360144,ENSG00000196233,LCOR,HTH,,NP_001164236
ENSP00000360157,ENSG00000187140,FOXD3,Fork_head,NM_012183,NP_036315
ENSP00000360162,ENSG00000102038,SMARCA1,MYB,,NP_001269803
ENSP00000360231,ENSG00000162599,NFIA,CTF/NFI,,NP_001138984
ENSP00000360266,ENSG00000177606,JUN,TF_bZIP,,NP_002219
ENSP00000360441,ENSG00000131721,RHOXF2,Homeobox,NM_032498,NP_115887
ENSP00000360455,ENSG00000203989,RHOXF2B,Homeobox,NM_001099685,NP_001093155
ENSP00000360500,ENSG00000143006,DMRTB1,DM,NM_033067,NP_149056
ENSP00000360526,ENSG00000171940,ZNF217,zf-C2H2,NM_001385034,NP_006517; NP_001371963
ENSP00000360532,ENSG00000096401,CDC5L,MYB,NM_001253,NP_001244
ENSP00000360552,ENSG00000182463,TSHZ2,zf-C2H2,NM_173485,NP_775756
ENSP00000360662,ENSG00000101126,ADNP,Homeobox,,XP_011527050; XP_016883247; NP_001269461; NP_001334440; XP_011527049; ; NP_001269460; NP_852107; XP_016883248; NP_056154
ENSP00000360811,ENSG00000107187,LHX3,Homeobox,NM_014564,NP_055379
ENSP00000360817,ENSG00000124201,ZNFX1,TF_others,,NP_066363
ENSP00000360951,ENSG00000162367,TAL1,bHLH,NM_001290404,NP_001274276; NP_001277333
ENSP00000361024,ENSG00000197587,DMBX1,Homeobox,NM_172225,NP_001374705; NP_671725
ENSP00000361373,ENSG00000171872,KLF17,zf-C2H2,NM_173484,NP_775755
ENSP00000361547,ENSG00000167157,PRRX2,Homeobox,NM_016307,NP_057391
ENSP00000361580,ENSG00000164011,ZNF691,zf-C2H2,,XP_016856891; NP_001229668; XP_006710734; NP_056995; XP_016856890
ENSP00000361602,ENSG00000165655,ZNF503,TF_others,NM_032772,NP_116161
ENSP00000361653,ENSG00000198815,FOXJ3,Fork_head,,NP_001185780
ENSP00000361664,ENSG00000127124,HIVEP3,zf-C2H2,,NP_078779
ENSP00000361669,ENSG00000123576,ESX1,Homeobox,NM_153448,NP_703149
ENSP00000361784,ENSG00000117010,ZNF684,zf-C2H2,,NP_689586
ENSP00000361791,ENSG00000187815,ZFP69,zf-C2H2,NM_001320179,NP_001307108
ENSP00000361857,ENSG00000117000,RLF,zf-C2H2,NM_012421,NP_036553
ENSP00000361943,ENSG00000163909,HEYL,bHLH,NM_014571,NP_055386
ENSP00000362103,ENSG00000185668,POU3F1,Pou,NM_002699,NP_002690
ENSP00000362127,ENSG00000188786,MTF1,zf-C2H2,NM_005955,NP_005946
ENSP00000362217,ENSG00000126733,DACH2,DACH,NM_001139514,NP_444511
ENSP00000362296,ENSG00000196767,POU3F4,Pou,NM_000307,
